x, y
-30.188034188034187, 14.718004338394794
-30.188034188034187, 15.661605206073752
-28.136752136752136, 16.54013015184382
-15.487179487179485, 13.123644251626898
-15.35042735042735, 14.522776572668112
-15.213675213675213, 18.915401301518436
-15.008547008547009, 17.809110629067245
-13.025641025641026, 17.321041214750544
-15.282051282051281, 16.40997830802603
-13.982905982905983, 16.182212581344903
-14.051282051282051, 17.060737527114966
-8.99145299145299, 19.11062906724512
-9.196581196581196, 17.711496746203906
-0.7863247863247835, 20.412147505422993
3.521367521367523, 22.00650759219089
